learning_rate;weight_decay;lr_decay;epoch_10;epoch_20;epoch_30;epoch_40;epoch_50;epoch_60;epoch_70;epoch_80;epoch_90;epoch_100;Test
0.05;0.0;0.0;0.823896117;0.8298827386;0.8892367855;0.8975380307;0.8914998513;0.9005391478;0.9020409911;0.8961534263;0.9017642625;0.8986343277;0.8933964892
0.05;0.0;0.001;0.7581165167;0.7983466776;0.8139716686;0.8128088768;0.8207231252;0.8199045327;0.8238827658;0.818165247;0.8215359485;0.8209044601;0.8193264365
0.05;0.001;0.0;0.745655339;0.8135632859;0.8225012674;0.8507664001;0.8314840599;0.8645560274;0.8621547776;0.8675962961;0.8560359213;0.8653432357;0.8618525794
0.05;0.001;0.001;0.8137669207;0.8588952102;0.8721366476;0.8832872001;0.8884542009;0.8901062992;0.8815384635;0.8902910349;0.8874859344;0.8894532542;0.8795084226
0.05;0.0001;0.0;0.793016445;0.8593822695;0.8865257026;0.878036622;0.8842805029;0.9006190704;0.9007617334;0.9075680448;0.9048843706;0.904038742;0.9012811921
0.05;0.0001;0.001;0.7886145321;0.8471596896;0.8601591351;0.8724687529;0.8775840149;0.8717634153;0.8706720676;0.8813903759;0.875816528;0.8766454103;0.8643092394
0.01;0.0;0.0;0.8546433133;0.8822819188;0.8908494369;0.8987543831;0.9053687266;0.9041970971;0.9056194574;0.9103241269;0.9050534492;0.912782004;0.9026944891
0.01;0.0;0.001;0.8443436327;0.8607067853;0.8632683419;0.8699106205;0.8644494284;0.8676714505;0.8672457621;0.8680919763;0.866031821;0.8664896421;0.8603092106
0.01;0.001;0.0;0.7983169298;0.8805334316;0.890989502;0.9072124488;0.8969205532;0.8886140179;0.8998962602;0.8943993336;0.8982494219;0.86590082;0.8684185166
0.01;0.001;0.001;0.8531760479;0.8833307185;0.8886422547;0.8928178575;0.8892821455;0.8880872943;0.8871487758;0.8896144963;0.8922402872;0.8921041478;0.8859179884
0.01;0.0001;0.0;0.860419894;0.845007896;0.8940531739;0.9041531519;0.9031730301;0.8995160299;0.9093137762;0.9065919523;0.9155284077;0.9063951018;0.9021114975
0.01;0.0001;0.001;0.8426523814;0.8593200845;0.866534032;0.871111286;0.8646039333;0.8680188573;0.8789150772;0.8699253318;0.8648209565;0.8717066208;0.8671363163
0.005;0.0;0.0;0.8554045279;0.8360939483;0.8770724455;0.8900822103;0.8870522593;0.8928095809;0.8903543328;0.8918279154;0.8996475584;0.9006350527;0.8884644219
0.005;0.0;0.001;0.8284350184;0.8388097046;0.8379367159;0.8438864779;0.8429807413;0.8437292541;0.8462236124;0.8480534614;0.8443722661;0.8433777598;0.8374308461
0.005;0.001;0.0;0.8458661098;0.8836365408;0.8881232249;0.8633523423;0.8944999896;0.8920967879;0.9047148145;0.902424082;0.9016080326;0.9034388894;0.8979996377
0.005;0.001;0.001;0.8516409465;0.8662945056;0.8720902882;0.8729118984;0.8695521318;0.8727800012;0.8740376353;0.871171421;0.8773349419;0.8708761009;0.8688400396
0.005;0.0001;0.0;0.8344077638;0.8874458224;0.8825295173;0.889786752;0.8907337079;0.8903349287;0.8972563551;0.8977096101;0.9021443951;0.8986196565;0.8964983929
0.005;0.0001;0.001;0.8398480656;0.8532041775;0.8458559565;0.8564735372;0.8502533309;0.8547009631;0.8546996581;0.8560903387;0.8543565522;0.8587269467;0.8463045201